Candidates,Voters,Dispersion,Voting Method,L=1,L=2,L=3,L=4,L=5,L=6,L=7
4,100,0.7,Schulze,0.926,0.974,1.0,1.0,0,0,0
4,100,0.7,Bucklin,0.868,1.0,1.0,1.0,0,0,0
4,100,0.7,Plurality With Runoff,0.929,0.973,1.0,1.0,0,0,0
4,100,0.7,Coombs,0.924,0.972,1.0,1.0,0,0,0
4,100,0.8,Schulze,0.816,0.913,1.0,1.0,0,0,0
4,100,0.8,Bucklin,0.754,1.0,1.0,1.0,0,0,0
4,100,0.8,Plurality With Runoff,0.824,0.921,1.0,1.0,0,0,0
4,100,0.8,Coombs,0.809,0.9,1.0,1.0,0,0,0
4,100,0.9,Schulze,0.625,0.784,1.0,1.0,0,0,0
4,100,0.9,Bucklin,0.535,1.0,1.0,1.0,0,0,0
4,100,0.9,Plurality With Runoff,0.656,0.82,1.0,1.0,0,0,0
4,100,0.9,Coombs,0.591,0.732,1.0,1.0,0,0,0
4,100,1,Schulze,0.546,0.717,1.0,1.0,0,0,0
4,100,1,Bucklin,0.444,1.0,1.0,1.0,0,0,0
4,100,1,Plurality With Runoff,0.605,0.756,1.0,1.0,0,0,0
4,100,1,Coombs,0.484,0.635,1.0,1.0,0,0,0
4,200,0.7,Schulze,0.966,0.991,1.0,1.0,0,0,0
4,200,0.7,Bucklin,0.952,1.0,1.0,1.0,0,0,0
4,200,0.7,Plurality With Runoff,0.966,0.991,1.0,1.0,0,0,0
4,200,0.7,Coombs,0.966,0.991,1.0,1.0,0,0,0
4,200,0.8,Schulze,0.885,0.947,1.0,1.0,0,0,0
4,200,0.8,Bucklin,0.85,1.0,1.0,1.0,0,0,0
4,200,0.8,Plurality With Runoff,0.886,0.949,1.0,1.0,0,0,0
4,200,0.8,Coombs,0.884,0.947,1.0,1.0,0,0,0
4,200,0.9,Schulze,0.687,0.849,1.0,1.0,0,0,0
4,200,0.9,Bucklin,0.65,1.0,1.0,1.0,0,0,0
4,200,0.9,Plurality With Runoff,0.714,0.871,1.0,1.0,0,0,0
4,200,0.9,Coombs,0.667,0.823,1.0,1.0,0,0,0
4,200,1,Schulze,0.584,0.732,1.0,1.0,0,0,0
4,200,1,Bucklin,0.481,1.0,1.0,1.0,0,0,0
4,200,1,Plurality With Runoff,0.654,0.77,1.0,1.0,0,0,0
4,200,1,Coombs,0.517,0.652,1.0,1.0,0,0,0
4,300,0.7,Schulze,0.992,0.998,1.0,1.0,0,0,0
4,300,0.7,Bucklin,0.979,1.0,1.0,1.0,0,0,0
4,300,0.7,Plurality With Runoff,0.992,0.998,1.0,1.0,0,0,0
4,300,0.7,Coombs,0.992,0.998,1.0,1.0,0,0,0
4,300,0.8,Schulze,0.939,0.978,1.0,1.0,0,0,0
4,300,0.8,Bucklin,0.914,1.0,1.0,1.0,0,0,0
4,300,0.8,Plurality With Runoff,0.938,0.977,1.0,1.0,0,0,0
4,300,0.8,Coombs,0.939,0.977,1.0,1.0,0,0,0
4,300,0.9,Schulze,0.752,0.896,1.0,1.0,0,0,0
4,300,0.9,Bucklin,0.667,1.0,1.0,1.0,0,0,0
